avg_min_degree,10,20,40,80,160,320,640
5,2.000000,2.500000,3.000000,3.500000,4.000000,4.000000,5.000000
10,2.000000,2.000000,3.000000,4.500000,5.000000,6.000000,7.000000
15,2.000000,2.000000,3.000000,4.500000,5.500000,7.000000,8.500000
20,2.000000,2.500000,3.000000,4.500000,6.000000,7.500000,9.000000
25,2.000000,2.000000,3.500000,4.500000,6.500000,7.500000,10.000000
30,1.500000,2.000000,3.000000,4.500000,6.500000,8.000000,10.000000

max_min_degree,10,20,40,80,160,320,640
5,2.000000,3.000000,3.000000,4.000000,4.000000,4.000000,5.000000
10,2.000000,2.000000,3.000000,5.000000,5.000000,6.000000,7.000000
15,2.000000,2.000000,3.000000,5.000000,6.000000,7.000000,9.000000
20,2.000000,3.000000,3.000000,5.000000,6.000000,8.000000,9.000000
25,2.000000,2.000000,4.000000,5.000000,7.000000,8.000000,10.000000
30,2.000000,2.000000,3.000000,5.000000,7.000000,8.000000,10.000000

trials_used,10,20,40,80,160,320,640
5,2,2,2,2,2,2,2
10,2,2,2,2,2,2,2
15,2,2,2,2,2,2,2
20,2,2,2,2,2,2,2
25,2,2,2,2,2,2,2
30,2,2,2,2,2,2,2
